change_id,module,lines_changed,change_date,author
CHG-001,auth,120,2025-10-03,alice
CHG-002,payment,45,2025-10-10,bob
CHG-003,auth,230,2025-10-15,alice
CHG-004,cart,60,2025-10-20,carol
CHG-005,auth,95,2025-11-01,alice
CHG-006,payment,310,2025-11-05,bob
CHG-007,payment,180,2025-11-12,bob
CHG-008,notifications,30,2025-11-18,carol
CHG-009,auth,50,2025-11-22,alice
CHG-010,payment,400,2025-12-01,bob
CHG-011,cart,75,2025-12-08,carol
CHG-012,reporting,20,2025-12-10,alice
CHG-013,auth,160,2026-01-15,alice
CHG-014,payment,220,2026-02-22,bob
CHG-015,cart,90,2026-03-01,carol
CHG-016,notifications,15,2026-03-03,carol
CHG-017,auth,310,2026-04-06,alice
